"CRASH_CRN","CRASH_YEAR","CRASH_MONTH","DAY_OF_WEEK","TIME_OF_DAY","HOUR_OF_DAY","ILLUMINATION","WEATHER","ROAD_CONDITION","MAX_SEVERITY_LEVEL","FATAL_COUNT","MAJOR_INJURY","UNB_DEATH_COUNT","BELTED_DEATH_COUNT","DEC_LAT","DEC_LONG","HVY_TRUCK_RELATED","DRINKING_DRIVER","SPEEDING","MUNICIPALITY","AUTOMOBILE_COUNT","MOTORCYCLE_COUNT","BUS_COUNT","SMALL_TRUCK_COUNT","HEAVY_TRUCK_COUNT","SUV_COUNT","VAN_COUNT","BICYCLE_COUNT"
2020000005,2020,"01",4,"0055","00",3,10,2,9,0,0,0,0,40.443,-80.0392,0,0,0,"02301",0,0,0,0,0,1,0,0
2020000014,2020,"01",4,"0140","01",3,10,6,0,0,0,0,0,40.4806,-79.9423,0,1,0,"02301",3,0,0,0,0,0,0,0
2020000016,2020,"01",4,"0053","00",3,10,9,3,0,0,0,0,40.4426,-80.0297,0,1,0,"02301",2,0,0,0,0,0,0,0
2020000020,2020,"01",4,"0315","03",2,3,7,9,0,0,0,0,40.464,-79.8341,0,0,0,"02113",4,0,0,0,0,0,0,0
2020000023,2020,"01",4,"0152","01",8,6,2,0,0,0,0,0,40.4408,-80.0068,0,0,0,"02301",0,0,0,0,0,1,0,0
2020000031,2020,"01",4,"0424","04",3,10,6,8,0,0,0,0,40.4695,-79.877,0,0,0,"02113",1,0,0,0,0,1,0,0
2020000040,2020,"01",4,"0031","00",3,10,7,4,0,0,0,0,40.385,-79.8627,0,0,0,"02303",1,0,0,0,0,0,0,0
2020000044,2020,"01",4,"0300","03",2,3,1,0,0,0,0,0,40.219,-79.8449,0,1,0,"02204",1,0,0,0,0,0,0,0
2020000046,2020,"01",4,"0058","00",3,10,7,3,0,0,0,0,40.4086,-79.7739,0,0,0,"02453",1,0,0,0,0,0,0,0
2020000069,2020,"01",4,"0831","08",1,4,2,0,0,0,0,0,40.3452,-80.1668,0,0,0,"02119",1,0,0,0,0,0,0,0
2020000071,2020,"01",4,"0840","08",1,98,2,0,0,0,0,0,40.3525,-79.8433,0,0,0,"02304",1,0,0,0,0,0,0,0
2020000074,2020,"01",4,"0841","08",1,98,2,0,0,0,0,0,40.353,-79.8413,0,0,0,"02304",2,0,0,0,0,0,0,0
2020000188,2020,"01",4,"1621","16",4,3,1,4,0,0,0,0,40.4615,-79.9285,0,0,0,"02301",1,0,0,0,0,1,0,0
2020000258,2020,"01",4,"1951","19",2,10,9,0,0,0,0,0,40.4299,-80.0041,0,0,0,"02301",2,0,0,0,0,0,0,0
2020000278,2020,"01",4,"0052","00",3,10,7,0,0,0,0,0,40.4309,-79.7869,0,0,0,"02446",1,0,0,0,0,0,0,0
2020000287,2020,"01",4,"0015","00",3,10,2,0,0,0,0,0,40.4413,-80.0203,0,0,1,"02301",1,0,0,0,0,0,0,0
2020000303,2020,"01",4,"0935","09",1,3,1,1,1,0,1,0,40.4345,-79.9898,0,0,1,"02301",0,0,0,0,0,1,0,0
2020000317,2020,"01",5,"0650","06",1,3,1,0,0,0,0,0,40.4642,-79.9802,1,0,0,"02301",1,0,0,0,1,0,0,0
2020000321,2020,"01",4,"1400","14",1,4,1,4,0,0,0,0,40.444,-80.0028,0,0,0,"02301",2,0,0,0,0,0,0,0
2020000322,2020,"01",4,"0812","08",5,4,9,3,0,0,0,0,40.4144,-80.2467,0,0,0,"02214",1,0,0,0,0,0,0,0
2020000373,2020,"01",5,"0840","08",1,3,1,0,0,0,0,0,40.6052,-80.0511,0,0,0,"02108",1,0,0,0,0,1,0,0
2020000376,2020,"01",4,"0038","00",3,6,2,0,0,0,0,0,40.38,-79.8625,0,0,0,"02303",0,0,0,0,0,1,0,0
2020000468,2020,"01",5,"1514","15",1,3,1,8,0,0,0,0,40.4533,-80.0017,0,0,0,"02301",1,0,0,0,0,2,0,0
2020000469,2020,"01",5,"1520","15",1,3,1,0,0,0,0,0,40.4557,-79.9658,0,0,0,"02301",1,0,0,0,0,0,1,0
2020000473,2020,"01",5,"1615","16",1,4,9,3,0,0,0,0,40.4377,-80.0527,0,0,0,"02301",1,0,0,0,0,0,0,0
2020000474,2020,"01",4,"0146","01",3,10,7,0,0,0,0,0,40.3835,-80.039,0,1,0,"02109",1,0,0,0,0,0,0,0
2020000521,2020,"01",5,"1812","18",3,3,1,3,0,0,0,0,40.3884,-79.9967,0,0,0,"02301",0,0,0,0,0,1,0,0
2020000527,2020,"01",5,"1820","18",3,3,1,2,0,1,0,0,40.4645,-79.9301,0,0,0,"02301",3,0,0,0,0,0,0,0
2020000528,2020,"01",4,"1540","15",1,3,1,0,0,0,0,0,40.4628,-79.9573,0,0,0,"02301",1,0,0,0,0,0,0,0
2020000585,2020,"01",5,"1909","19",3,3,1,3,0,0,0,0,40.3808,-79.8111,0,0,0,"02424",2,0,0,0,0,0,0,0
2020000587,2020,"01",5,"1820","18",2,3,1,0,0,0,0,0,40.5257,-79.8913,0,0,0,"02432",0,0,0,0,0,1,0,0
2020000591,2020,"01",5,"1830","18",3,3,1,0,0,0,0,0,40.5263,-80.1586,0,0,0,"02452",1,0,0,0,0,0,0,0
2020000612,2020,"01",5,"2308","23",2,7,9,2,0,1,0,0,40.438,-79.9944,0,0,0,"02301",1,0,0,0,0,0,0,0
2020000617,2020,"01",5,"2330","23",3,7,9,0,0,0,0,0,40.4062,-80.0036,1,0,0,"02301",1,0,0,0,1,0,0,0
2020000624,2020,"01",5,"2245","22",3,7,9,0,0,0,0,0,40.4878,-79.9235,0,0,0,"02301",1,0,0,0,0,2,0,0
2020000625,2020,"01",4,"1600","16",1,3,1,0,0,0,0,0,40.5957,-79.9847,0,0,0,"02207",1,0,0,0,0,0,0,0
2020000685,2020,"01",6,"1048","10",1,7,9,3,0,0,0,0,40.4842,-79.8193,0,0,0,"02113",0,0,0,0,0,3,0,0
2020000686,2020,"01",6,"1055","10",1,7,9,8,0,0,0,0,40.4459,-79.828,0,0,0,"02113",0,0,0,1,0,1,0,0
2020000758,2020,"01",5,"1331","13",1,3,1,0,0,0,0,0,40.4283,-79.9273,0,0,0,"02301",1,0,0,1,0,1,0,0
2020000759,2020,"01",5,"1656","16",2,3,1,3,0,0,0,0,40.4566,-80.1868,0,0,0,"02213",1,0,0,0,0,1,0,0
2020000767,2020,"01",6,"1316","13",1,7,9,0,0,0,0,0,40.3562,-79.828,1,0,0,"02304",1,0,0,0,1,0,0,0
2020000771,2020,"01",6,"1337","13",1,3,1,0,0,0,0,0,40.3949,-80.0215,0,0,0,"02301",2,0,0,0,0,0,1,0
2020000785,2020,"01",5,"1942","19",3,7,9,0,0,0,0,0,40.4358,-80.0685,0,1,0,"02421",1,0,0,0,0,0,0,0
2020000792,2020,"01",6,"1445","14",1,7,9,8,0,0,0,0,40.3532,-79.8462,0,0,0,"02304",1,0,0,0,0,0,0,0
2020000798,2020,"01",6,"1650","16",4,7,9,0,0,0,0,0,40.4438,-79.9206,0,0,0,"02301",1,0,0,0,0,1,0,0
2020000841,2020,"01",6,"1720","17",3,3,9,0,0,0,0,0,40.4213,-79.9586,0,0,0,"02301",2,0,0,0,0,0,0,0
2020000843,2020,"01",6,"1716","17",3,7,9,0,0,0,0,0,40.5223,-80.0369,0,0,0,"02474",1,0,0,0,0,1,0,0
2020000848,2020,"01",6,"1819","18",3,4,1,8,0,0,0,0,40.4764,-79.7965,0,0,0,"02113",2,0,0,0,0,0,0,0
2020000850,2020,"01",6,"1455","14",1,7,9,3,0,0,0,0,40.5104,-80.2621,0,0,1,"02203",1,0,0,1,0,0,0,0
2020000854,2020,"01",6,"1616","16",1,7,9,8,0,0,0,0,40.4531,-80.0194,0,0,0,"02301",1,0,0,0,0,2,0,0
2020000859,2020,"01",6,"1700","17",3,7,9,0,0,0,0,0,40.4768,-80.0068,0,0,0,"02301",2,0,0,0,0,0,0,0
2020000941,2020,"01",6,"1709","17",4,7,9,0,0,0,0,0,40.6423,-80.0746,0,1,0,"02412",1,0,0,0,0,0,0,0
2020000960,2020,"01",6,"1905","19",3,7,9,0,0,0,0,0,40.4491,-80.1414,0,0,0,"02115",1,0,0,1,0,0,0,0
2020000963,2020,"01",5,"2203","22",3,7,9,3,0,0,0,0,40.4459,-79.8484,0,0,0,"02419",1,0,0,0,0,1,0,0
2020000969,2020,"01",4,"0217","02",2,3,9,0,0,0,0,0,40.3355,-79.9833,0,1,0,"02403",3,0,0,0,0,0,0,0
2020000971,2020,"01",6,"0625","06",3,7,9,0,0,0,0,0,40.4276,-80.0542,1,0,0,"02301",1,0,0,0,1,0,0,0
2020000977,2020,"01",6,"2316","23",3,5,9,0,0,0,0,0,40.468,-79.9036,1,1,0,"02301",1,0,0,0,1,0,0,0
2020000983,2020,"01",7,"0133","01",3,7,9,8,0,0,0,0,40.4383,-79.9945,0,0,0,"02301",2,0,0,0,0,0,0,0
2020000984,2020,"01",6,"0130","01",3,7,9,0,0,0,0,0,40.4847,-79.9078,0,0,0,"02301",0,0,0,1,0,0,0,0
2020000985,2020,"01",7,"0015","00",2,5,9,0,0,0,0,0,40.5647,-80.0784,0,0,0,"02481",0,0,0,0,0,1,0,0
2020000986,2020,"01",7,"0204","02",3,7,9,0,0,0,0,0,40.3732,-79.8482,0,1,0,"02303",2,0,0,0,0,0,0,0
2020000994,2020,"01",7,"0524","05",3,4,9,0,0,0,0,0,40.4422,-79.995,0,0,0,"02301",1,0,0,1,0,0,0,0
2020001007,2020,"01",6,"1300","13",1,4,9,0,0,0,0,0,40.4067,-80.0348,0,0,0,"02301",2,0,0,0,0,0,0,0
2020001008,2020,"01",7,"0600","06",6,7,9,4,0,0,0,0,40.4131,-79.9225,0,0,0,"02301",1,0,0,0,0,0,0,0
2020001050,2020,"01",7,"1141","11",1,4,9,0,0,0,0,0,40.3381,-79.8068,0,0,0,"02477",2,0,0,0,0,0,0,0
2020001051,2020,"01",7,"0950","09",1,3,9,0,0,0,0,0,40.6186,-79.9071,0,0,0,"02220",2,0,0,0,0,0,0,0
